Index,Board,System,Enrolment,Spaces,Per-student Funding ($),Per-student Spending ($),EQAO Pass Rate,Total Revenue,Total Expense,Surplus,"Year-End Accumulated Surplus (August 31, 2022)",Surplus as Share of Revenue,"Year-End Accumulated Surplus as Share of Revenue (August 31, 2022)",Remoteness (KM),Dispersion (KM),Urban Factor,Urban,Remote,Dispersion,Size,Geographic Area,Teacher Salaries (Actual),Total Salary,Total Teachers
54,Waterloo Catholic DSB,English Catholic,24231.43,22622,12418.55447,13823.03087,0.704140867,351.731564,334.951805,16.779759,55.407384,0.047706151,0.157527472,<151,6.78,0.298,Leans Urban,Least Remote,Least Disperse,Large,1384,91021.6421,142954040,1570.55
55,Niagara Catholic DSB,English Catholic,20384.69,24142,12990.79953,13989.73691,0.684173669,285.1408456,285.17645,-0.0356044,26.802592,-0.000124866,0.093997729,<151,8.4,0.715,Leans Rural,Least Remote,Least Disperse,Medium,1882,97479.51709,122526879,1256.95
56,Brant Haldimand Norfolk Catholic DSB,English Catholic,10963.75,11158,13039.57969,13772.04597,0.639983663,151.075669,150.993269,0.0824,30.904607,0.000545422,0.204563761,<151,13.9,0.703,Leans Rural,Least Remote,Medium Disperse,Medium,4066,90532.71785,63739560,704.05
57,Catholic DSB of Eastern Ontario,English Catholic,13204.55,14425,15226.44265,15503.24699,0.645088202,207.2150645,204.7134,2.50166447,20.403876,0.012072792,0.098467146,<151,23.69,0.979,Leans Rural,Least Remote,Medium Disperse,Medium,12141,91491.59336,82168600,898.1
58,Ottawa Catholic DSB,English Catholic,44712.86,46290,13120.10015,13790.03495,0.743416297,631.3924685,616.591902,14.8005665,140.098,0.023441151,0.221887347,<151,6.38,0,Urban,Least Remote,Least Disperse,Large,2813,91883.83672,271121637,2950.7
59,Renfrew County Catholic DSB,English Catholic,4742.07,6131,16469.44722,17383.73242,0.771580345,82.22195945,82.434876,-0.21291655,14.559461,-0.002589534,0.177075092,<151,23.28,1,Rural,Least Remote,Medium Disperse,Small,7873,91734.88608,27983727,305.05
60,Algonquin and Lakeshore Catholic DSB,English Catholic,11344,11371,14425.49018,15200.36574,0.590926716,173.1348116,172.432949,0.70186261,21.581244,0.00405385,0.124649941,181,24.49,0.687,Leans Rural,Medium Remote,Medium Disperse,Medium,16135,89251.01204,63760923,714.4
61,CSP du Nord-Est de l'Ontario,French Public,2023.97,3719,27268.3591,29569.13245,0.611374408,60.45581429,59.847037,0.60877729,14.820072,0.010069789,0.245138903,313,123.84,0.931,Leans Rural,Medium Remote,Most Disperse,Small,46842,85627.78659,17814861,208.05
62,CSP du Grand Nord de l'Ontario,French Public,2629.28,6198,27516.89356,29151.47531,0.529647436,76.283387,76.647391,-0.364004,11.893345,-0.004771734,0.155910028,363,103.5,0.335,Leans Urban,Medium Remote,Most Disperse,Small,66045,96417.16752,23453476,243.25
63,CS Viamonde,French Public,13105.07,18674,18174.71004,19403.7954,0.783258825,252.9329972,254.288097,-1.35509984,137.07202,-0.005357545,0.541930162,<151,40.84,0.174,Leans Urban,Least Remote,Most Disperse,Medium,68065,83249.63089,80856204,971.25
64,CEP de l'Est de l'Ontario,French Public,16830.07,19586,16464.55862,17819.72309,0.757147984,308.467517,299.907187,8.56033,137.311774,0.027751155,0.445141762,<151,29.83,0.231,Leans Urban,Least Remote,Most Disperse,Medium,37907,89213.24941,106663361,1195.6
65,CSD catholique des Grandes Rivières,French Catholic,5493.57,11745,21513.71301,22260.59848,0.573228346,123.898726,122.290156,1.60857,23.117472,0.012982942,0.186583613,654,49.47,0.958,Leans Rural,Medium Remote,Most Disperse,Small,25495,90467.49555,40674186,449.6
66,CSD catholique Franco-Nord,French Catholic,2535,4913,23563.22291,25848.49901,0.52606255,65.55380867,65.525945,0.02786367,16.003549,0.00042505,0.244128439,312,25.21,0.925,Leans Rural,Medium Remote,Most Disperse,Small,11192,93471.46006,20358084,217.8
67,CSD catholique du Nouvel-Ontario,French Catholic,5986.28,12726,20327.38482,21721.97141,0.582309582,130.418704,130.033803,0.38490095,23.981872,0.002951271,0.183883686,364,60.34,0.386,Leans Urban,Medium Remote,Most Disperse,Small,19274,94528.31587,47821875,505.9
68,CSD catholique des Aurores boréales,French Catholic,814.75,1725,35192.4236,32375.7263,0.585831063,27.1778026,26.378123,0.7996796,22.671087,0.029423998,0.834176601,1255,188.95,0.7,Leans Rural,Most Remote,Most Disperse,Small,38765,78850.52252,6564306,83.25
69,CS catholique Providence,French Catholic,9465.43,12095,17136.99637,18208.54647,0.690177412,166.9688878,172.351722,-5.38283424,49.899339,-0.032238546,0.298854114,<151,41.42,0.578,Leans Rural,Least Remote,Most Disperse,Medium,28986,88214.64368,63439561,719.15
70,CS catholique MonAvenir,French Catholic,16286.5,20273,17477.12595,18843.74617,0.756965944,321.966166,306.898672,15.067494,191.816804,0.046798377,0.59576696,<151,32.4,0.338,Leans Urban,Least Remote,Most Disperse,Medium,40462,92281.47482,111314529,1206.25
71,CSD catholique de l'Est ontarien,French Catholic,10409.88,17893,17467.8027,18241.26618,0.674513818,190.6411351,189.889392,0.75174314,23.134819,0.003943237,0.121352713,<151,15.97,0.983,Leans Rural,Least Remote,Medium Disperse,Medium,5340,93192.08878,70537092,756.9
72,CSD catholique du Centre-Est de l'Ontario,French Catholic,25509.94,28762,15506.75575,16280.93939,0.77262273,427.053845,415.325787,11.72805803,176.14461,0.027462715,0.412464639,<151,20.45,0.082,Leans Urban,Least Remote,Medium Disperse,Large,33623,89564.03228,159258284,1778.15
